tokens:
  名詞 	 ログアウト
  動詞 	 し
  助動詞 	 た
  名詞 	 編集
  名詞 	 者
  助詞 	 の
  名詞 	 ページ
  副詞 	 もっと
  形容詞 	 詳しく
  名詞 	 案内
  名詞 	 ヘルプ
  名詞 	 ツール
  名詞 	 印刷
  名詞 	 /
  名詞 	 書き出し
  名詞 	 他
  助詞 	 の
  名詞 	 プロジェクト
  名詞 	 言語
  名詞 	 目次
  名詞 	 アイルランド
  名詞 	 アイルランド
  記号 	 （
  名詞 	 愛
  名詞 	 :
  名詞 	 Éire
  記号 	 、
  名詞 	 英
  名詞 	 :
  名詞 	 Ireland
  記号 	 ）
  助詞 	 は
  記号 	 、
  名詞 	 北西
  名詞 	 ヨーロッパ
  助詞 	 に
  名詞 	 位置
  動詞 	 し
  記号 	 、
  名詞 	 北大西洋
  助詞 	 の
  名詞 	 アイルランド
  名詞 	 島
  助詞 	 の
  接頭詞 	 大
  名詞 	 部分
  助詞 	 を
  名詞 	 領土
  助詞 	 と
  動詞 	 する
  名詞 	 共和
  名詞 	 制
  名詞 	 国家
  名詞 	 代替
  名詞 	 的
  助動詞 	 な
  名詞 	 記述
  助詞 	 で
  名詞 	 アイルランド
  名詞 	 共和
  名詞 	 国
  記号 	 （
  名詞 	 アイルランド
  名詞 	 きょう
  助詞 	 わ
  形容詞 	 こく
  記号 	 、
  名詞 	 愛
  名詞 	 :
  名詞 	 Poblacht
  名詞 	 na
  名詞 	 hÉireann
  記号 	 、
  名詞 	 英
  名詞 	 :
  名詞 	 Republic
  名詞 	 of
  名詞 	 Ireland
  記号 	 ）
  助詞 	 として
  助詞 	 も
  動詞 	 知ら
  動詞 	 れる
  名詞 	 [
  名詞 	 注釈
  名詞 	 1
  名詞 	 ]
  名詞 	 首都
  助詞 	 は
  名詞 	 ダブリン
  名詞 	 人口
  名詞 	 490
  名詞 	 万
  名詞 	 人
  助詞 	 の
  名詞 	 うち
  接頭詞 	 約
  名詞 	 4
  名詞 	 割
  助詞 	 が
  名詞 	 ダブリン
  名詞 	 近郊
  助詞 	 に
  動詞 	 住ん
  助詞 	 で
  動詞 	 いる
  名詞 	 [
  名詞 	 1
  名詞 	 ]
  名詞 	 主権
  名詞 	 国家
  助動詞 	 で
  助動詞 	 あり
  記号 	 、
  名詞 	 北アイルランド
  記号 	 （
  名詞 	 イギリス
  記号 	 ）
  助詞 	 と
  助詞 	 の
  名詞 	 唯一
  助詞 	 の
  名詞 	 陸地
  名詞 	 国境
  助詞 	 を
  名詞 	 共有
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 大西洋
  助詞 	 に
  動詞 	 囲ま
  動詞 	 れ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 南
  助詞 	 に
  助詞 	 は
  名詞 	 ケルト
  名詞 	 海
  記号 	 、
  名詞 	 南東
  助詞 	 に
  助詞 	 は
  名詞 	 セント
  記号 	 ・
  名詞 	 ジョージ
  名詞 	 海峡
  記号 	 、
  名詞 	 東
  助詞 	 に
  助詞 	 は
  名詞 	 アイリッシュ
  名詞 	 海
  助詞 	 が
  動詞 	 ある
  名詞 	 単一
  名詞 	 国家
  助動詞 	 で
  助動詞 	 あり
  記号 	 、
  名詞 	 議会
  名詞 	 共和
  名詞 	 制
  助動詞 	 で
  助動詞 	 ある
  名詞 	 [
  名詞 	 2
  名詞 	 ]
  名詞 	 立法府
  助詞 	 は
  記号 	 、
  名詞 	 下院
  助動詞 	 で
  助動詞 	 ある
  名詞 	 ドイル・エアラン
  記号 	 （
  名詞 	 Dáil
  名詞 	 Éireann
  記号 	 ）
  記号 	 、
  名詞 	 上院
  助動詞 	 で
  助動詞 	 ある
  名詞 	 シャナズ・エアラン
  記号 	 （
  名詞 	 Seanad
  名詞 	 Éireann
  記号 	 ）
  記号 	 、
  接続詞 	 そして
  名詞 	 選挙
  助詞 	 で
  動詞 	 選ば
  動詞 	 れ
  助動詞 	 た
  名詞 	 大統領
  記号 	 （
  名詞 	 Uachtarán
  記号 	 ）
  助詞 	 から
  名詞 	 構成
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 政府
  助詞 	 の
  名詞 	 長
  助詞 	 は
  名詞 	 議会
  助詞 	 で
  名詞 	 選出
  動詞 	 さ
  動詞 	 れ
  記号 	 、
  名詞 	 大統領
  助詞 	 によって
  名詞 	 任命
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  名詞 	 首相
  記号 	 （
  名詞 	 Taoiseach
  記号 	 、
  名詞 	 ティーショク
  記号 	 、
  名詞 	 英語
  助詞 	 で
  助詞 	 は
  記号 	 「
  名詞 	 Prime
  名詞 	 Minister
  記号 	 」
  助詞 	 と
  助詞 	 は
  動詞 	 呼ば
  動詞 	 れ
  助動詞 	 ない
  記号 	 ）
  助動詞 	 で
  助動詞 	 ある
  名詞 	 1922
  名詞 	 年
  助詞 	 に
  名詞 	 英
  名詞 	 愛
  名詞 	 条約
  助詞 	 の
  名詞 	 結果
  記号 	 、
  名詞 	 アイルランド
  名詞 	 自由
  名詞 	 国
  助詞 	 として
  名詞 	 誕生
  動詞 	 し
  助動詞 	 た
  名詞 	 1937
  名詞 	 年
  助詞 	 に
  形容詞 	 新しい
  名詞 	 憲法
  助詞 	 が
  名詞 	 採択
  動詞 	 さ
  動詞 	 れる
  助詞 	 まで
  助詞 	 は
  名詞 	 自治領
  助詞 	 の
  名詞 	 地位
  助詞 	 に
  動詞 	 あっ
  助動詞 	 た
  記号 	 「
  名詞 	 アイルランド
  記号 	 」
  助詞 	 と
  動詞 	 名づけ
  動詞 	 られ
  記号 	 、
  名詞 	 事実
  名詞 	 上
  助詞 	 の
  名詞 	 共和
  名詞 	 制
  助詞 	 と
  動詞 	 なり
  記号 	 、
  名詞 	 選出
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  接頭詞 	 非
  名詞 	 執行
  名詞 	 大統領
  助詞 	 が
  名詞 	 国家
  名詞 	 元首
  助詞 	 と
  動詞 	 なる
  名詞 	 1948
  名詞 	 年
  助詞 	 の
  名詞 	 アイルランド
  名詞 	 共和
  名詞 	 国法
  記号 	 （
  名詞 	 Republic
  名詞 	 of
  名詞 	 Ireland
  名詞 	 Act
  名詞 	 1948
  記号 	 ）
  助詞 	 により
  記号 	 、
  名詞 	 1949
  名詞 	 年
  助詞 	 に
  名詞 	 正式
  助詞 	 に
  名詞 	 共和
  名詞 	 国
  助詞 	 と
  名詞 	 宣言
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  名詞 	 1955
  名詞 	 年
  名詞 	 12
  名詞 	 月
  記号 	 、
  名詞 	 アイルランド
  助詞 	 は
  名詞 	 国際
  名詞 	 連合
  助詞 	 に
  名詞 	 加盟
  動詞 	 し
  助動詞 	 た
  名詞 	 1973
  名詞 	 年
  助詞 	 に
  助詞 	 は
  名詞 	 欧州
  名詞 	 連合
  記号 	 （
  名詞 	 EU
  記号 	 ）
  助詞 	 の
  名詞 	 前身
  助動詞 	 で
  助動詞 	 ある
  名詞 	 欧州
  名詞 	 経済
  名詞 	 共同
  名詞 	 体
  記号 	 （
  名詞 	 EEC
  記号 	 ）
  助詞 	 に
  名詞 	 加盟
  動詞 	 し
  助動詞 	 た
  名詞 	 20
  名詞 	 世紀
  助詞 	 の
  副詞 	 ほとんど
  助詞 	 の
  名詞 	 間
  記号 	 、
  名詞 	 北アイルランド
  助詞 	 と
  助詞 	 の
  名詞 	 正式
  助動詞 	 な
  名詞 	 関係
  助詞 	 は
  形容詞 	 なかっ
  助動詞 	 た
